시점,아시아,한국,이스라엘,일본,터키,북아메리카,캐나다,멕시코,미국,남아메리카,칠레,콜롬비아,코스타리카,유럽,오스트리아,벨기에,체코,덴마크,에스토니아,핀란드,프랑스,독일,그리스,헝가리,아이슬란드,아일랜드,이탈리아,라트비아,리히텐슈타인,리투아니아,룩셈부르크,네덜란드,노르웨이,폴란드,포르투갈,슬로바키아,슬로베니아,스페인,스웨덴,스위스,영국,오세아니아,오스트레일리아,뉴질랜드,세계
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,764,79,1229,475,509,1870.333333,2259,345,3007,379,505,251,381,702.0740741,935,1274,,,,1179,1335,,520,,1415,686,804,,,,2242,1069,1442,,360,,,396,2114,1787,1398,2060.5,1808,2313,1155.181481
1961-01-01,791,84,1436,569,284,1890,2240,363,3067,394.6666667,555,274,355,751.037037,1032,1350,,,,1327,1428,,591,,1418,739,887,,,,2222,1159,1560,,383,,,450,2289,1971,1472,2109,1875,2343,1187.140741
1962-01-01,711.3333333,90,1095,640,309,1963.666667,2269,378,3244,421,639,290,334,805.8148148,1088,1439,,,,1412,1578,,617,,1562,797,990,,,,2312,1241,1667,,408,,,520,2469,2131,1526,2150.5,1852,2449,1210.462963
1963-01-01,812.3333333,103,1258,725,351,2052.666667,2374,409,3375,424.3333333,655,274,344,875,1167,1535,,,,1522,1745,,695,,1832,852,1126,,,,2441,1328,1776,,433,,,609,2657,2294,1613,2293,1964,2622,1291.466667
1964-01-01,898.6666667,106,1376,844,370,2199.333333,2555,469,3574,453,678,329,352,978.8518519,1269,1702,,,,1708,1910,,784,,2298,965,1223,,,,2756,1542,1938,,469,,,675,2941,2501,1748,2471,2128,2814,1400.17037
1965-01-01,950.6666667,108,1429,929,386,2364.333333,2770,495,3828,450,670,308,372,1064.074074,1375,1836,,,,1882,2038,,899,,2724,1024,1304,,,,2780,1708,2164,,521,,,775,3206,2620,1874,2214.5,2278,2151,1408.714815
1966-01-01,1052,128,1514,1069,445,2575.666667,3047,534,4146,482.6666667,773,282,393,1243.037037,1487,1958,,2487,,2010,2186,,997,,3216,1075,1402,,,,2900,1836,2317,,575,,,890,3454,2785,1987,2265.5,2340,2191,1523.774074
1967-01-01,1111.333333,145,1468,1239,482,2706.333333,3217,566,4336,486.3333333,753,294,412,1310.592593,1570,2087,,2701,,2034,2343,,1068,,3126,1152,1534,,,,2910,1991,2514,,647,,,968,3721,2961,2059,2382,2576,2188,1599.318519
1968-01-01,1266.333333,174,1648,1451,526,2921.666667,3463,606,4696,497.3333333,757,292,443,1336.888889,1678,2222,,2776,,1907,2536,,1154,,2354,1125,1652,,,,3175,2185,2662,,719,,,951,3926,3122,1952,2302.5,2720,1885,1664.944444
1969-01-01,1441.666667,216,1852,1685,572,3148.666667,3764,650,5032,551,870,308,475,1465.259259,1825,2458,,3151,,2178,2752,,1324,,2039,1291,1813,,,,3659,2643,2875,,796,,,1078,4234,3345,2101,2532.5,2987,2078,1827.818519
1970-01-01,933,253,,2056,490,3348.666667,4122,690,5234,600.3333333,933,335,533,1784.666667,2059,2766,,3464,,2466,2857,2761,1494,,2576,1487,2107,,4236,,4450,2927,3306,,934,,,1212,4736,,2348,1650,3300,,1663.333333
1971-01-01,1005.666667,290,,2272,455,3622.666667,4520,739,5609,672.6666667,1095,355,568,2001.666667,2381,3083,,3846,,2716,3169,3192,1652,,3252,1704,2306,,4827,,4592,3379,3736,,1065,,,1362,5133,,2650,3131.5,3490,2773,2086.833333
1972-01-01,1283,324,,2967,558,4003.333333,5090,826,6094,731.6666667,1173,385,637,2400.888889,2924,3832,,4654,,3178,3855,3810,1900,,4015,2081,2671,,5638,,5680,4104,4414,,1302,,,1709,6027,,3030,3619.5,3944,3295,2407.677778
1973-01-01,1689.333333,407,,3975,686,4515.333333,5839,981,6726,951.6666667,1640,448,767,3092.407407,3891,4901,,6119,,4173,4970,5047,2503,,5437,2425,3205,,7355,,7710,5346,5690,,1748,,,2248,7301,,3426,4543.5,4764,4323,2958.448148
1974-01-01,1948.333333,563,,4354,928,5167,7033,1242,7226,965.3333333,1554,526,816,3588.555556,4631,5734,,6771,,5298,5328,5639,2829,,7041,2517,3621,,8440,,9283,6441,6812,,2000,,,2750,8090,,3666,5542,6473,4611,3442.244444
1975-01-01,2142.666667,618,,4674,1136,5596,7511,1476,7801,733.3333333,720,544,936,4099,5286,6701,,7999,,6256,6691,6236,3153,,6454,2974,4107,,10513,,9008,7336,8204,,2128,,,3210,10117,,4300,5583,6994,4172,3630.8
1976-01-01,2436,834,,5198,1276,6285,8809,1454,8592,902.3333333,961,623,1123,4385.185185,5678,7243,,8788,,6740,6867,6635,3391,,7583,2920,4033,,11386,,9825,7926,8927,,2173,,,3279,10868,,4138,5925.5,7477,4374,3986.803704
1977-01-01,2939.333333,1056,,6335,1427,6557.666667,8919,1301,9453,1148.333333,1278,774,1393,4959.555556,6811,8427,,9784,,7069,7533,7683,3886,,9957,3428,4604,,12412,,10856,9167,10266,,2267,,,3628,11449,,4681,6358,7765,4951,4392.577778
1978-01-01,3943.333333,1459,,8821,1550,7092.666667,9124,1589,10565,1300.666667,1442,904,1556,5988.37037,8205,10290,,11826,,7629,9265,9482,4695,,11237,4401,5610,,17499,,13494,11179,11463,,2457,,,4356,12621,,5977,7089.5,8242,5937,5082.907407
1979-01-01,4302,1723,,9104,2079,7917.666667,10044,2035,11674,1578,1937,1062,1735,7054.555556,9794,11811,,13752,,9332,11180,11281,5706,,12641,5431,6990,,19761,,15740,12799,13047,,2756,,,5770,14877,,7805,7975,9282,6668,5765.444444
1980-01-01,4247,1714,,9463,1564,8924.333333,11171,3027,12575,1935.666667,2543,1242,2022,8618.296296,10870,12864,,13884,,11224,12713,12138,5894,,14822,6373,8457,,20660,,17114,13792,15772,,3368,,,6209,17098,19410,10032,8830.5,10194,7467,6511.159259
1981-01-01,4607.333333,1883,,10360,1579,10038.66667,12337,3803,13976,1790.666667,2980,1323,1069,7807.592593,9385,10623,,12082,,10927,11105,10209,5380,,15137,5987,7623,,19507,,14325,11520,15513,,3246,,,5371,15586,17680,9599,9824,11834,7814,6813.651852
1982-01-01,4323,1991,,9576,1402,9838,12482,2598,14434,1525.666667,2157,1387,1033,7521,9410,9344,,11804,,10938,10497,9914,5579,,13712,6162,7557,,19677,,13035,11073,15225,,3080,,,5160,13739,18015,9146,10211.5,12767,7656,6683.833333
1983-01-01,4643,2198,,10421,1310,10372.33333,13425,2148,15544,1424,1709,1349,1214,7237.148148,9537,8846,,11858,,10497,9993,9864,5020,,11672,5916,7833,,19561,,12810,10680,14928,,2735,,,4479,12608,17874,8692,9558.5,11519,7598,6646.996296
1984-01-01,4879.666667,2413,,10979,1247,11159,13878,2478,17121,1434.333333,1625,1304,1374,7045.814815,8991,8457,,11563,,10834,9420,9313,4853,,11960,5693,7740,,18596,,12554,9977,14989,,2523,,,4490,13099,17006,8179,9573,12432,6714,6818.362963
1985-01-01,5142,2481,,11577,1368,11640.33333,14115,2569,18237,1347,1444,1165,1432,7289.962963,9172,8751,,12253,,11398,9763,9430,4814,,12361,6013,7991,,19390,,12922,9926,15754,,2705,,,4700,13667,17167,8652,9519.5,11438,7601,6987.759259
1986-01-01,7153,2835,,17113,1511,11755.33333,14461,1734,19071,1411,1518,1143,1572,9966.296296,13083,12170,,17201,,14951,13540,13462,5657,,16406,8113,11315,,28287,,18790,13784,18883,,3862,,,6514,17981,24480,10611,10396,11364,9428,8136.325926
1987-01-01,8670,3555,,20749,1706,12737,16309,1863,20039,1499,1760,1166,1571,12442.74074,16393,15136,,21341,,18571,16302,16678,6565,,22453,9583,14235,,37824,,23235,16710,22506,,4804,,,8240,21793,30466,13119,11978,11625,12331,9465.348148
1988-01-01,10519.66667,4755,,25059,1745,14200.66667,18937,2248,21417,1606,2027,1232,1559,13725.48148,17579,16391,,22527,,22048,17680,17931,7598,,24452,10718,15745,,41292,,26108,17745,24207,,5624,,,9703,24535,32718,15987,14007,14255,13759,10811.76296
1989-01-01,10887.66667,5818,,24823,2022,15420.33333,20716,2688,22857,1745,2289,1218,1728,13768.51852,17469,16525,,21901,,23973,17694,17764,7847,,22434,11178,16387,,39369,,27556,17398,24281,,6056,,,10682,25662,31335,16239,15555.5,17799,13312,11475.4037
1990-01-01,11591,6608,,25371,2794,16149.66667,21448,3112,23889,1923.666667,2495,1445,1831,17188.85185,21681,20600,3942,26891,,28365,21794,22304,9600,,25385,14034,20826,,49374,,34645,21291,28243,1731,7885,2406,,13805,30594,39608,19095,15937.5,18212,13663,12558.13704
1991-01-01,13095,7634,,28915,2736,16590.66667,21768,3662,24342,2169.333333,2804,1457,2247,17721.77778,22411,21042,2897,27011,,25485,21675,23358,10188,3350,26803,14089,21957,,50886,,37007,21732,28597,2236,8959,2691,,14812,31823,39578,19901,15526,18822,12230,13020.55556
1992-01-01,14127.33333,8125,,31415,2842,16823.33333,20880,4171,25419,2551,3350,1697,2606,18951.59259,24880,23373,3373,29570,,22319,23814,26438,11176,3735,27124,15717,23243,,55198,,40966,23904,30524,2459,10811,2921,,16112,32801,40748,20487,15181.5,18570,11793,13526.95185
1993-01-01,15915.33333,8884,,35682,3180,17386,20121,5650,26387,2757,3535,1894,2842,17540.85185,24082,22284,3956,27598,,17609,22380,25523,10402,3874,23580,14659,18739,,55794,,41479,23122,27964,2497,9535,3102,,13340,24425,39270,18389,15364.5,17635,13094,13792.73704
1994-01-01,17284.33333,10383,,39200,2270,17828,19935,5854,27695,3113.666667,4024,2285,3032,18975.48148,25647,24209,4631,29996,,20301,23497,27077,11091,4173,24019,15905,19338,,64051,,45482,24646,29316,2875,9977,3771,,13415,26084,43128,19709,16663,18046,15280,14772.8963
1995-01-01,25687.66667,12569,18167,43429,2898,17744.33333,20614,3928,28691,3637.666667,5107,2540,3266,23034.25926,30326,28414,5824,35351,3131,26272,26890,31658,12959,4495,26634,19161,20665,2328,78632,2168,52831,29258,34876,3687,11781,4819,10730,15472,30283,50156,23124,18860,20320,17400,17792.78519
1996-01-01,24763.33333,13398,19401,38437,3054,18535.66667,21227,4412,29968,3728.666667,5350,2621,3215,23453.96296,29809,27490,6533,35651,3377,25783,26872,30486,13749,4525,27615,20835,23082,2429,79863,2327,52572,29007,37322,4147,12185,5197,10815,16109,32999,48145,24333,20327.5,21861,18794,18161.82593
1997-01-01,23422.66667,12401,19701,35022,3144,19550,21902,5289,31459,3988,5745,2827,3392,21965.14815,26705,24821,6034,32836,3678,24692,24229,26964,13428,4596,27919,22541,21829,2681,72209,2830,47042,26701,36629,4123,11576,5147,10455,14731,30312,41631,26720,20471.5,23469,17474,17879.46296
1998-01-01,21387.33333,8297,19462,31903,4500,19786.66667,21025,5481,32854,3870,5447,2566,3597,22752.25926,27362,25338,6490,33368,4088,26009,24974,27289,13472,4744,31030,24274,22318,2971,76757,3167,47584,27886,34788,4518,12199,5539,11176,15394,30597,42740,28239,18028.5,21319,14738,17164.95185
1999-01-01,23324.33333,10667,19163,36027,4116,20995.33333,22315,6157,34514,3612.333333,4958,2210,3669,23242.96296,27174,25244,6337,33441,4145,26177,24673,26726,13245,4793,32382,26295,21998,3148,81307,3113,51654,28263,36371,4398,12471,5644,11453,15715,30941,41786,28666,17927.5,20533,15322,17820.49259
2000-01-01,25410.33333,12261,21101,38532,4337,22588,24271,7158,36335,3794.666667,5075,2520,3789,21904.33333,24564,23042,6029,30744,4076,24285,22364,23636,12043,4624,32096,26246,20088,3358,74854,3293,48736,26149,38131,4501,11498,5413,10201,14713,29625,38952,28156,17660,21679,13641,18271.46667
2001-01-01,22968.66667,11563,20354,33846,3143,22833.33333,23822,7545,37133,3658.333333,4575,2440,3960,21992.48148,24538,22995,6637,30752,4509,24946,22434,23608,12538,5276,28897,28240,20483,3573,74287,3526,48179,26873,38543,4991,11725,5717,10480,15356,27248,39728,27718,16687,19491,13883,17627.96296
2002-01-01,22540.33333,13164,18480,32289,3688,23290.33333,24255,7593,38023,3628.666667,4446,2397,4043,24101.96296,26402,24888,8061,33229,5345,26870,24177,25078,14110,6655,32409,32540,22270,4132,79346,4142,52931,29204,43084,5207,12875,6534,11777,17026,29899,42579,29983,18478,20082,16874,18407.85926
2003-01-01,24423.66667,14669,19034,34808,4760,24957,28300,7075,39496,3734,4773,2281,4148,29159.92593,32223,30588,9819,40459,7206,32855,29568,30244,18478,8421,39477,41101,27466,5135,89860,5499,65446,35672,50135,5702,15763,8713,14849,21463,37322,49470,34384,22680.5,23447,21914,20991.01852
2004-01-01,26743.66667,16506,19934,37689,6102,27113.66667,32144,7484,41713,4461,6195,2783,4405,33546.37037,36822,35364,11750,46512,8913,37703,33741,34044,21955,10286,47335,47645,31260,6364,100289,6700,75716,40362,57604,6681,18031,10672,17233,24861,42822,54878,40209,27925.5,30431,25420,23958.04074
2005-01-01,28219.66667,19399,20586,37218,7456,29592,36383,8278,44115,5229.666667,7599,3414,4676,35720.33333,38403,36796,13431,48800,10406,39040,34760,34507,22552,11201,56795,50891,32043,7575,105399,7855,80290,41979,66810,8022,18773,11686,18099,26419,43437,56547,41933,30875,33999,27751,25927.33333
2006-01-01,29039.33333,21727,21855,35434,8102,31957,40504,9068,46299,6144.333333,9465,3741,5227,38415.51852,40635,38673,15262,52027,12632,41188,36444,36323,24801,11476,57493,54283,33502,9700,114374,9231,89740,44863,74148,9035,19823,13160,19673,28365,46594,59301,44473,31350,36045,26655,27381.23704
2007-01-01,31364.66667,24088,24939,35275,9792,34093,44660,9643,47976,7106.666667,10502,4714,6104,44578.37037,46856,44263,18467,58487,16742,48415,41508,41587,28827,13919,69496,61337,37823,14091,130656,12285,106018,51733,85140,11255,22782,16086,23788,32550,53700,65360,50445,36720,40960,32480,30772.54074
2008-01-01,33740,21340,29600,39339,10941,35037,46711,10017,48383,7708.333333,10751,5473,6901,48075.7037,51709,48107,22805,64322,18227,53554,45334,45427,31997,15753,56943,61213,40778,16422,143264,14945,114294,57644,96944,13996,24848,18677,27483,35366,56153,74572,47267,40427.5,49602,31253,32997.70741
2009-01-01,32276.66667,19152,27720,40855,9103,31993,40876,8003,47100,7401,10209,5193,6801,42236.55556,47963,44584,19862,58163,14795,47294,41575,41486,29711,13046,41301,52009,37080,12288,126097,11821,103199,52514,79978,11526,23060,16532,24694,32042,46947,72083,38737,35490.5,42772,28209,29879.54444
2010-01-01,36342.66667,23083,30694,44508,10743,35100,47562,9271,48467,9124,12808,6337,8227,43103.81481,46858,44142,19960,58041,14784,46460,40638,41532,26691,13192,43237,48698,36001,11380,141193,11988,104965,50950,87694,12613,22499,16751,23510,30503,52869,77117,39537,42849.5,52022,33677,33303.9963
2011-01-01,39433.33333,25100,33611,48168,11421,37436.66667,52224,10203,49883,10400.66667,14637,7335,9230,47495.62963,51375,47349,21871,61754,17624,51082,43791,46645,25451,14216,47715,51887,38599,13776,158130,14377,115762,54159,100601,13880,23187,18362,25095,31636,60756,91254,42048,50453,62518,38388,37043.85926
2012-01-01,39455.66667,25458,32510,48603,11796,38171.33333,52669,10242,51603,11159,15352,8050,10075,44860.07407,48568,44673,19871,58508,17534,47711,40875,43858,21915,12951,45996,48915,35054,13923,149010,14368,106749,50073,101524,13097,20565,17482,22643,28324,58038,86548,42449,53992.5,68012,39973,37527.71481
2013-01-01,38854.33333,27178,36316,40454,12615,38822.33333,52635,10725,53107,11601.66667,15843,8218,10744,47425.48148,50717,46745,20133,61191,19174,49878,42593,46286,21749,13688,49805,51577,35550,15123,173030,15730,113625,52184,102913,13696,21647,18260,23497,29060,61127,88109,43401,55563.5,68150,42977,38453.46296
2014-01-01,39082.33333,29242,37738,38109,12158,38978.33333,50956,10929,55050,11210.66667,14671,8114,10847,48543.07407,51717,47701,19891,62549,20367,50260,43011,47960,21602,14267,54577,55587,35518,15714,178865,16551,118824,52830,97019,14271,22074,18674,24215,29462,60020,89685,47452,53542,62511,44573,38271.28148
2015-01-01,36689.33333,28724,35814,34524,11006,36692,43596,9617,56863,10464.33333,13574,6176,11643,43058.66667,44178,40992,17830,53255,17522,42785,36638,41087,18050,12707,52952,62000,30230,13775,167313,14258,101376,45175,74356,12578,19242,16311,20882,25732,51545,84776,45039,47693.5,56756,38631,34919.56667
2016-01-01,38742.33333,29287,37283,38762,10895,36360.66667,42316,8745,58021,10545.33333,13754,5871,12011,43616.88889,45277,41984,18575,54664,18437,43784,37037,42108,17885,13091,61988,62994,30940,14316,165642,14998,104278,46008,70461,12447,19978,16509,21664,26505,51965,83073,41048,45025.5,49971,40080,34858.14444
2017-01-01,40352.33333,31605,40475,38387,10590,38175.66667,45129,9288,60110,11200.66667,14999,6377,12226,46087.40741,47309,44089,20636,57610,20408,46297,38685,44443,18562,14606,72010,70413,32327,15643,171254,16844,107361,48555,75497,13865,21437,17504,23455,28101,53792,83352,40305,48510.5,54028,42993,36865.31481
2018-01-01,41248.66667,33429,41705,39159,9453,39735.33333,46455,9687,63064,11695.66667,15888,6730,12469,49595.77778,51453,47555,23420,61599,23159,50013,41526,47787,19766,16411,74348,79298,34609,17850,180367,19167,116597,53019,82268,15468,23551,19365,26103,30375,54589,86430,42993,50330.5,57355,43306,38521.18889
2019-01-01,41586,31929,43589,40113,9127,40517.66667,46327,9946,65280,11279,14742,6425,12670,41921.66667,50122,46414,23490,60213,23718,48712,40380,46468,19151,16733,68883,80779,33567,17794,,19555,114685,52295,75826,15695,23285,19273,25941,29565,51687,85300,42354,48528,55057,41999,36766.46667
2020-01-01,27928.66667,31637,43611,,8538,38377.66667,43242,8347,63544,10214,13232,5333,12077,40844.07407,48105,44594,22762,60909,23312,49041,38625,45724,17676,15899,59261,83813,31676,17620,,19998,115874,52304,67294,15656,22440,19157,25180,27057,51926,86602,40285,46802,51812,41792,32833.28148
